company,deal_year,company_type,amt_raised_millions
Helio Genomics,2017,Challenger,30.0
Hinge Health (NYS: HNGE),2017,Challenger,8.4
I V Y Labs,2017,Enabler,6.66
Imagen (Healthcare Technology Systems),2017,Enabler,14.32
Insight Timer,2017,Challenger,5.5
Intiva Health,2017,Enabler,9.1
Ivenix,2017,Enabler,50.0
IVXpress,2017,Challenger,11.16
JourneyPure,2017,Challenger,7.53
Joyable,2017,Challenger,5.0
Kali (Enterprise Systems (Healthcare)),2017,Enabler,5.0
KenSci,2017,Enabler,8.46
Kindara,2017,Enabler,5.0
Knowledge to Practice,2017,Enabler,6.5
Kyruus,2017,Enabler,10.0
LabConnect,2017,Challenger,24.5
LeanTaaS,2017,Enabler,25.63
Lemonaid Health,2017,Challenger,12.0
Level Ex,2017,Enabler,11.0
Levitate Technologies,2017,Enabler,5.16
LifeDojo,2017,Enabler,5.1
Lineagen,2017,Enabler,6.46
LogicStream Health,2017,Enabler,6.0
Madaket,2017,Enabler,5.0
Mango Health (Application Software),2017,Enabler,9.3
Maven,2017,Challenger,10.18
Medely,2017,Enabler,5.0
Medical Brain,2017,Enabler,20.45
Medicom (Medical Records Systems),2017,Enabler,5.23
Medigate,2017,Enabler,5.35
Medisafe,2017,Enabler,14.5
Medrio,2017,Enabler,30.0
Medsphere Systems,2017,Enabler,4.0
Mellitus Health,2017,Enabler,7.0
Metabiota,2017,Enabler,16.0
MindCare,2017,Challenger,23.01
Mindful Health Solutions,2017,Challenger,5.42
Mindstrong,2017,Challenger,14.35
Miro Health,2017,Enabler,5.2
MORE Health,2017,Challenger,36.3
MyHealthTeam,2017,Enabler,7.3
myStrength,2017,Enabler,5.87
Navican Genomics,2017,Enabler,15.0
NeueHealth (NYS: NEUE),2017,Challenger,160.0
Neurotrack,2017,Enabler,9.86
Nimble (Medical Records Systems),2017,Enabler,28.0
Noom,2017,Challenger,
Nurx,2017,Challenger,36.25
OM1,2017,Enabler,15.0
Omada (NAS: OMDA),2017,Challenger,50.0
One Drop,2017,Enabler,6.11
OpenEvidence,2017,Enabler,5.0
OurHealth,2017,Challenger,
Outcome Health,2017,Enabler,487.5
PatientPay,2017,Enabler,6.03
PatientPop,2017,Enabler,15.0
PatientsLikeMe,2017,Enabler,100.0
Pear Therapeutics,2017,Challenger,50.0
Phil,2017,Challenger,10.0
Phreesia (NYS: PHR),2017,Enabler,34.0
PillPack,2017,Challenger,24.03
PipelineRx,2017,Enabler,15.37
Pivot (Healthcare Technology Systems),2017,Enabler,10.0
Prealize Health,2017,Enabler,5.1
Precision Health Intelligence,2017,Enabler,20.0
Predicine,2017,Enabler,10.0
Prognos Health,2017,Enabler,20.5
Progyny (NAS: PGNY),2017,Enabler,73.3
Protenus,2017,Enabler,7.0
Pulsara,2017,Enabler,12.24
Radiology Partners,2017,Challenger,200.02
Redox,2017,Enabler,10.0
Regroup,2017,Enabler,6.1
Salucro,2017,Enabler,6.33
Sansoro Health,2017,Enabler,5.25
SchoolCare,2017,Enabler,16.0
SchoolCare,2017,Enabler,6.4
Science 37 Holdings,2017,Enabler,29.0
Sensely,2017,Enabler,8.0
SHYFT Analytics,2017,Enabler,20.0
SignalPath,2017,Enabler,5.0
Silversheet,2017,Enabler,5.04
SimpleHealth,2017,Challenger,9.97
Solera (Other Healthcare Services),2017,Enabler,18.33
Solera (Other Healthcare Services),2017,Enabler,9.0
Solv.,2017,Challenger,6.25
Somatus,2017,Challenger,5.0
Statera Spine,2017,Enabler,20.72
Statera Spine,2017,Enabler,18.5
Strava,2017,Enabler,15.0
Suki,2017,Enabler,4.5
Supurb,2017,Enabler,7.5
Surgical Theater,2017,Enabler,7.51
Syapse,2017,Enabler,30.0
Sync Project,2017,Enabler,5.0
Talkspace (NAS: TALK),2017,Challenger,31.0
The Mighty,2017,Enabler,7.5
Thirty Madison,2017,Challenger,5.0
Thrive Global,2017,Enabler,7.0
Truveris,2017,Enabler,24.68
Twill,2017,Challenger,9.0
uMethod,2017,Enabler,5.9
Unite Us,2017,Enabler,7.32
Upfront (Enterprise Systems),2017,Enabler,5.61
Upward Health,2017,Challenger,8.67
UpWell (Information Services (B2C)),2017,Challenger,20.15
Verato,2017,Enabler,12.5
Verinovum,2017,Enabler,6.0
Vertava Health,2017,Challenger,11.7
Vineti,2017,Enabler,13.81
Viocare,2017,Enabler,
VirtualHealth,2017,Enabler,7.0
Vital Interaction,2017,Enabler,10.0
Viz.ai,2017,Enabler,7.34
VIZI Healthcare,2017,Enabler,5.0
Voi (Decision/Risk Analysis),2017,Enabler,18.0
WelbeHealth,2017,Challenger,15.0
Welkin Health,2017,Enabler,8.0
Wellfount,2017,Enabler,11.92
Wellframe,2017,Enabler,15.0
WellSmith,2017,Enabler,12.0
Xealth,2017,Enabler,8.63
ZappRx,2017,Enabler,22.9
180 Health Partners,2018,Challenger,8.0
20/20 Onsite,2018,Challenger,7.0
23andMe (PINX: MEHCQ),2018,Enabler,300.0
98point6,2018,Challenger,50.0
Aaptiv,2018,Challenger,23.0
Abacus Insights,2018,Enabler,5.9
AbleTo,2018,Challenger,8.5
ABOUT Healthcare,2018,Enabler,5.75
Accolade (Managed Care),2018,Enabler,50.0
AdviNOW,2018,Enabler,7.0
Aetion,2018,Enabler,36.4
AKASA,2018,Enabler,5.0
Akido Labs,2018,Enabler,6.2
Akili Interactive,2018,Challenger,68.0
Akiri,2018,Enabler,10.0
All.Health,2018,Enabler,90.0
Alto Pharmacy,2018,Challenger,50.44
American Well (NYS: AMWL),2018,Enabler,290.61
Andros (Healthcare Technology Systems),2018,Enabler,8.22
Apixio,2018,Enabler,5.0
Apostrophe (Life and Health Insurance),2018,Challenger,5.25
Artera,2018,Enabler,10.32
Aspen RxHealth,2018,Challenger,9.0
Assured Allies,2018,Challenger,5.0
AssuriCare,2018,Enabler,13.5
Atentiv Health,2018,Enabler,11.0
Augmedix,2018,Enabler,21.89
Avalon Healthcare Solutions,2018,Enabler,16.5
b.well Connected Health,2018,Enabler,8.19
Bardavon,2018,Enabler,16.88
Bayesian Health,2018,Enabler,15.0
Beddr,2018,Challenger,5.6
Benchling,2018,Enabler,14.5
Bexa,2018,Enabler,6.0
BioIQ,2018,Challenger,26.5
Blue Note Therapeutics,2018,Challenger,10.0
Bridge Connector,2018,Enabler,5.5
Cadence Health,2018,Enabler,8.4
Calm,2018,Challenger,10.49
CancerIQ,2018,Enabler,5.5
Caption Care,2018,Enabler,9.25
Carbon Health,2018,Challenger,12.0
Care Innovations,2018,Enabler,11.6
Carepoynt,2018,Enabler,5.0
Caresyntax,2018,Enabler,20.0
Carevive,2018,Enabler,
CareZone,2018,Enabler,50.0
Carie,2018,Enabler,7.0
Casetabs,2018,Enabler,8.27
Castle Biosciences (NAS: CSTL),2018,Challenger,10.06
Cedar (Enterprise Systems (Healthcare)),2018,Enabler,36.0
Centivo,2018,Challenger,33.55
Change Healthcare,2018,Enabler,
CircleLink Health,2018,Challenger,5.04
Cityblock,2018,Challenger,20.8
Clarify( Enterprise Systems (Healthcare)),2018,Enabler,57.0
CleanSlate (Clinics/Outpatient Services),2018,Challenger,25.0
CleanSlate (Clinics/Outpatient Services),2018,Challenger,25.0
ClearDATA,2018,Enabler,26.0
Clearsense,2018,Enabler,20.5
Cleo (Commercial Services),2018,Enabler,10.5
Click Therapeutics,2018,Challenger,17.26
Commure,2018,Enabler,24.84
Comprehend,2018,Enabler,26.1
Contessa,2018,Challenger,12.0
Cosán,2018,Challenger,5.0
Cricket Health,2018,Challenger,24.22
Curai Health,2018,Challenger,10.7
CureMetrix,2018,Enabler,28.0
Curology,2018,Challenger,10.7
Cynerio,2018,Enabler,6.6
Datavant,2018,Enabler,40.5
Decent (Healthcare Services),2018,Challenger,6.0
Devoted,2018,Challenger,300.0
DiaCarta,2018,Challenger,45.0
DiaCarta,2018,Challenger,
Doc.ai,2018,Enabler,5.0
DocMatter,2018,Enabler,8.54
Doctor On Demand,2018,Challenger,74.0
Drumroll AI,2018,Enabler,5.0
Edda Technology,2018,Enabler,28.5
Eden Health,2018,Challenger,9.62
Electronic Caregiver,2018,Enabler,15.75
Elligo Health Research,2018,Enabler,16.01
Endotronix,2018,Enabler,43.46
ESO Solutions,2018,Enabler,16.36
Everly Health,2018,Challenger,10.6
Evidation Health,2018,Enabler,30.0
EyeQue,2018,Challenger,11.2
Farcast Biosciences,2018,Enabler,40.0
Fellow (Other Healthcare Technology Systems),2018,Enabler,6.7
FitOn Health,2018,Enabler,8.25
FitOn Health,2018,Enabler,8.0
Foodsmart,2018,Enabler,18.0
Force Therapeutics,2018,Enabler,21.0
GB HealthWatch,2018,Enabler,5.18
Genoox,2018,Enabler,6.0
Genoplan,2018,Challenger,13.0
GoodNight Medical,2018,Challenger,6.67
Grouper,2018,Enabler,5.0
hc1 Insights,2018,Enabler,10.0
Heal,2018,Challenger,20.0
Health Catalyst (NAS: HCAT),2018,Enabler,55.0
Health Gorilla,2018,Enabler,8.2
HealthFinch,2018,Enabler,6.0
HealthiPASS,2018,Enabler,8.68
HealthMyne,2018,Enabler,15.0
HeartFlow,2018,Enabler,240.0
Helix (Laboratory Services (Healthcare)),2018,Challenger,200.0
HelloMD,2018,Challenger,9.56
Hero (Healthcare Technology Systems),2018,Enabler,12.0
Higi (Decision/Risk Analysis),2018,Enabler,23.82
Hinge Health (NYS: HNGE),2018,Challenger,26.0
Hint Health,2018,Enabler,10.37
HNI Healthcare,2018,Enabler,65.0
HNI Healthcare,2018,Enabler,32.64
Holmusk (He serves),2018,Enabler,5.57
Honor,2018,Challenger,50.0
Hospital IQ,2018,Enabler,10.0
i2i Population Health,2018,Enabler,5.0
Imagen (Healthcare Technology Systems),2018,Enabler,41.0
Independa,2018,Enabler,5.61
Inspire ( Healthcare Services),2018,Enabler,10.63
IntelyCare,2018,Enabler,10.8
InterVenn,2018,Enabler,9.4
InTouch Health,2018,Challenger,21.0
InTouch Health,2018,Challenger,8.62
Iora Health,2018,Challenger,25.0
Iora Health,2018,Challenger,99.73
Jump Technologies,2018,Enabler,5.5
K Health,2018,Enabler,25.0
K Health,2018,Enabler,5.12
K4Connect,2018,Enabler,12.75
Kindly Care,2018,Challenger,5.41
Klara (Enterprise Systems),2018,Enabler,11.5
Komodo Health,2018,Enabler,12.5
LeanTaaS,2018,Enabler,15.0
Learn To Live,2018,Enabler,9.06
Life Image,2018,Enabler,6.5
Loyale,2018,Enabler,6.0
Luma Health,2018,Enabler,6.3
Lumeon,2018,Enabler,27.68
Lumeris,2018,Enabler,266.25
Lumiata,2018,Enabler,11.0
Lyra Health,2018,Challenger,48.94
Madaket,2018,Enabler,10.0
Mammoth Biosciences,2018,Enabler,18.0
Maven,2018,Challenger,27.0
MDLive,2018,Challenger,50.0
Medable,2018,Enabler,18.5
Medically Home,2018,Challenger,14.04
Medici,2018,Challenger,22.0
Medrhythms,2018,Challenger,5.0
Metabiota,2018,Enabler,
Metabiota,2018,Enabler,7.5
Mindoula,2018,Enabler,6.0
Mindstrong,2018,Challenger,45.0
mPulse.,2018,Enabler,11.95
Murj,2018,Enabler,8.5
Myia,2018,Enabler,6.75
MyLaurel,2018,Challenger,5.54
MyMeds,2018,Enabler,5.0
NeueHealth (NYS: NEUE),2018,Challenger,200.0
Neurotrack,2018,Enabler,13.7
NeuroVision,2018,Enabler,15.0
Nimble (Medical Records Systems),2018,Enabler,20.0
nirvanaHealth,2018,Enabler,50.0
Nomad Health,2018,Enabler,12.0
Noom,2018,Challenger,16.0
Notable,2018,Enabler,13.5
Nucleai,2018,Enabler,5.0
Nursegrid,2018,Enabler,5.7
ObvioHealth,2018,Enabler,6.0
Octave (Decision/Risk Analysis),2018,Enabler,12.15
Olive (Enterprise Systems),2018,Enabler,32.8
OM1,2018,Enabler,21.0
OMNY Health,2018,Enabler,5.0
OncoHealth (Atlanta),2018,Enabler,21.0
One Drop,2018,Enabler,
One Medical (Clinics/Outpatient Services),2018,Challenger,250.0
OneMedNet (NAS: ONMD),2018,Enabler,6.5
OnShift,2018,Enabler,29.11
OODA Health,2018,Enabler,40.5
Opyn,2018,Enabler,6.06
Orbita,2018,Enabler,5.75
Oscar Health (NYS: OSCR),2018,Challenger,375.0
Oscar Health (NYS: OSCR),2018,Challenger,165.0
Owkin,2018,Enabler,16.0
Paige,2018,Enabler,25.0
Parachute Health,2018,Enabler,9.5
Parachute Health,2018,Enabler,5.5
Parsley Health,2018,Challenger,12.81
PatientPop,2018,Enabler,10.0
PhyzData,2018,Enabler,5.0
PicnicHealth,2018,Enabler,10.0
Pieces (Decision/Risk Analysis),2018,Enabler,10.93
Pill Club,2018,Challenger,5.56
Pill Club,2018,Challenger,8.28
Pillar Biosciences,2018,Enabler,15.9
Pivot (Healthcare Technology Systems),2018,Enabler,25.0
PokitDok,2018,Enabler,
Predicine,2018,Enabler,14.59
PrismHealthDX,2018,Challenger,5.6
Proscia,2018,Enabler,8.34
Protenus,2018,Enabler,11.0
Quartet Health,2018,Enabler,45.0
Qventus,2018,Enabler,30.0
Radiology Partners,2018,Challenger,233.92
RealSelf,2018,Enabler,55.0
RecoveryPlus.health,2018,Challenger,5.88
Regroup,2018,Enabler,5.5
Reveleer,2018,Enabler,5.0
Rhyme (Healthcare Technology Systems),2018,Enabler,10.5
Rimidi,2018,Enabler,8.2
Rise (Monitoring Equipment),2018,Challenger,5.5
Ro,2018,Challenger,64.0
Robin Healthcare,2018,Enabler,11.5
Ronin,2018,Enabler,10.0
RubiconMD,2018,Enabler,13.8
SafeinHome,2018,Challenger,
SageMedic,2018,Enabler,6.0
SameSky Health,2018,Challenger,9.0
Sansoro Health,2018,Enabler,8.0
Saykara,2018,Enabler,5.0
Seer (Decision/Risk Analysis) (NAS: SEER),2018,Enabler,30.0
Seer (Decision/Risk Analysis) (NAS: SEER),2018,Enabler,6.0
Sempre Health,2018,Enabler,8.0
SentryHealth,2018,Enabler,9.5
Seven Bridges Genomics,2018,Enabler,40.0
ShiftMed,2018,Enabler,11.0
Shine (Application Software),2018,Enabler,5.0
SignalPath,2018,Enabler,8.0
SimpleHealth,2018,Challenger,16.0
Simplifeye,2018,Enabler,11.0
Singularity.AI,2018,Enabler,5.0
SleepMed,2018,Challenger,3.32
SmithRx,2018,Enabler,5.5
SmithRx,2018,Enabler,9.0
Solv.,2018,Challenger,16.8
SonarMD,2018,Enabler,10.0
Sparta Science,2018,Enabler,7.0
Spring Health,2018,Challenger,8.13
Springbuk,2018,Enabler,20.0
Suki,2018,Enabler,15.0
SwiftShift,2018,Challenger,5.7
SwipeSense,2018,Enabler,10.61
Syllable,2018,Enabler,13.21
SystemOne,2018,Enabler,5.0
Tagnos,2018,Enabler,5.82
Tebra Technologies,2018,Enabler,9.9
Thirty Madison,2018,Challenger,15.25
Thrive Global,2018,Enabler,30.2
TigerConnect,2018,Enabler,12.93
Tissue Analytics,2018,Enabler,7.68
Tissue Differentiation Intelligence,2018,Enabler,6.0
Tridiuum,2018,Enabler,
Tridiuum,2018,Enabler,7.43
uBiome,2018,Challenger,83.0
Unite Genomics,2018,Enabler,5.78
Univfy,2018,Enabler,11.52
Upperline Health,2018,Challenger,29.75
Urgent Team,2018,Challenger,7.38
Verana Health,2018,Enabler,30.0
Verge Health,2018,Enabler,7.0
Vi Labs,2018,Enabler,26.63
VillageMD,2018,Challenger,80.0
Vineti,2018,Enabler,33.5
Virta Health,2018,Challenger,45.0
VisitPay,2018,Enabler,15.0
Vitality Health Plan,2018,Challenger,5.9
Vivante Health (Merger),2018,Challenger,5.0
Viz.ai,2018,Enabler,20.8
WEconnect Health Management,2018,Challenger,6.05
WelbeHealth,2018,Challenger,18.0
Wellist,2018,Enabler,10.0
Wellth (California),2018,Enabler,5.1
Welltok,2018,Enabler,13.29
Welltok,2018,Enabler,75.0
Whiterabbit.ai,2018,Enabler,38.23
Whiterabbit.ai,2018,Enabler,9.27
Wildflower Health,2018,Enabler,8.0
Wisdo Health,2018,Challenger,11.0
Woebot Health,2018,Challenger,8.0
4G Clinical,2019,Enabler,7.16
4G Clinical,2019,Enabler,
Abacus Insights,2019,Enabler,12.7
Abridge,2019,Enabler,5.0
Access Physicians,2019,Challenger,9.3
Accolade (Managed Care),2019,Enabler,20.0
Actify Neurotherapies,2019,Challenger,
Actium Health,2019,Enabler,10.0
Activ Surgical,2019,Enabler,10.82
AcuamarkDx,2019,Enabler,5.3
AdviNOW,2019,Enabler,6.0
Aetion,2019,Enabler,27.0
AiCure,2019,Enabler,24.5
AiCure,2019,Enabler,16.78
AirStrip Technologies,2019,Enabler,21.46
Aizon,2019,Enabler,8.28
AKASA,2019,Enabler,20.0
Aledade,2019,Enabler,56.15
Alma (Clinics/Outpatient Services),2019,Challenger,8.0
Alpha,2019,Challenger,10.0
Alto Pharmacy,2019,Challenger,30.0
Altoida,2019,Enabler,6.3
Amplion (Bend),2019,Enabler,7.0
Apervita,2019,Enabler,15.96
Apostrophe,2019,Enabler,6.0
ARIEL Precision Medicine,2019,Enabler,5.27
Arrive Health,2019,Enabler,15.9
Artemis Health,2019,Enabler,25.0
Artera,2019,Enabler,12.0
Ascend Medical,2019,Challenger,8.5
Astarte Medical,2019,Enabler,5.0
Augmedix,2019,Enabler,19.0
Aural Analytics,2019,Enabler,5.3
Availity Clinical Solutions,2019,Enabler,9.6
Avenda Health,2019,Enabler,8.38
Babylon Health,2019,Challenger,450.0
Backpack Health,2019,Enabler,8.43
Belong.Life,2019,Enabler,14.0
Benchling,2019,Enabler,34.5
Bend (Managed Care),2019,Enabler,9.95
BetterHealthcare,2019,Enabler,5.0
BetterNight,2019,Challenger,6.5
Biofourmis,2019,Enabler,35.0
BioIQ,2019,Challenger,16.8
Biotheranostics,2019,Challenger,
Blink Health,2019,Enabler,81.7
Bolster,2019,Enabler,10.0
Boulder Care,2019,Challenger,11.0
BrainCheck,2019,Enabler,7.49
Brave Care,2019,Challenger,6.6
Bridge Connector,2019,Enabler,10.0
Brightline (Clinics/Outpatient Services),2019,Challenger,5.0
BurstIQ,2019,Enabler,5.5
Cadence Health,2019,Enabler,13.6
Canvas Medical,2019,Enabler,6.0
Capital Rx,2019,Enabler,16.0
Carbon Health,2019,Challenger,30.0
Care.Life,2019,Enabler,5.0
CareBridge,2019,Challenger,5.6
CareCloud Health,2019,Enabler,33.16
CareConnectMD,2019,Challenger,5.0
CareHive,2019,Challenger,10.0
Caremerge,2019,Enabler,5.19
Caresyntax,2019,Enabler,23.95
Carrot Fertility,2019,Challenger,11.5
Cass (Clinics/Outpatient Services),2019,Challenger,6.5
Castle Biosciences (NAS: CSTL),2019,Challenger,13.03
Censinet,2019,Enabler,7.8
ChartSpan,2019,Enabler,14.75
CirrusMD,2019,Challenger,15.0
Citizen Health,2019,Enabler,17.0
Cityblock,2019,Challenger,57.5
Clarify( Enterprise Systems (Healthcare)),2019,Enabler,25.0
CleanSlate (Clinics/Outpatient Services),2019,Challenger,10.0
Clever Care Health Plan,2019,Challenger,6.0
Click Therapeutics,2019,Challenger,30.0
Clinicient,2019,Enabler,17.25
Clinigence Health,2019,Enabler,18.81
Clover Health Investments (NAS: CLOV),2019,Challenger,311.87
Cogitativo,2019,Enabler,18.0
Commure,2019,Enabler,27.0
Complion,2019,Enabler,7.0
Comprehend,2019,Enabler,5.0
Comprehensive Health Services,2019,Enabler,
Contessa,2019,Challenger,32.5
Cortex (Healthcare Technology Systems),2019,Enabler,23.5
Covera Health,2019,Enabler,8.5
Cradle Genomics,2019,Enabler,17.1
Curology,2019,Challenger,31.8
DARI Motion,2019,Enabler,6.0
DayTwo,2019,Enabler,48.0
Deep 6 AI,2019,Enabler,17.0
Deep Lens,2019,Enabler,13.7
DispatchHealth,2019,Challenger,33.0
Doc.ai,2019,Enabler,25.0
eHealth Technologies,2019,Enabler,42.9
Eleanor Health,2019,Challenger,12.0
Elligo Health Research,2019,Enabler,20.0
Emerging Therapy Solutions,2019,Enabler,6.3
Endotronix,2019,Enabler,45.0
Enlitic (ASX: ENL),2019,Enabler,25.0
Enlitic (ASX: ENL),2019,Enabler,15.0
Episode Solutions,2019,Enabler,5.75
Ever/Body,2019,Challenger,14.0
Everly Health,2019,Challenger,30.0
EvidenceCare,2019,Enabler,7.3
eVisit,2019,Enabler,9.7
Exagen (NAS: XGN),2019,Challenger,22.6
ExplORer Surgical,2019,Enabler,5.0
Fabric Genomics,2019,Enabler,5.78
Fathom (Healthcare Technology Systems),2019,Enabler,9.0
Ferrologix,2019,Enabler,
FetchMD,2019,Challenger,7.58
Fifth Eye,2019,Enabler,11.5
First Stop Health,2019,Challenger,6.5
FitOn Health,2019,Enabler,20.28
Fivos,2019,Enabler,22.63
Florence (Healthcare Technology Systems),2019,Enabler,7.1
Forefront TeleCare,2019,Challenger,15.3
ForeSee Medical,2019,Enabler,10.0
Forward (Clinics/Outpatient Services),2019,Challenger,97.5
Freenome,2019,Enabler,160.0
FULLFILL,2019,Challenger,5.0
Fullpower-AI,2019,Enabler,10.0
Future,2019,Challenger,8.5
Galileo (Clinics/Outpatient Services),2019,Challenger,14.89
Ginger,2019,Challenger,29.5
Ginger,2019,Challenger,23.0
Glooko,2019,Enabler,13.0
Glytec,2019,Enabler,12.49
GoCheck Kids,2019,Enabler,6.0
Groups Recover Together,2019,Challenger,27.0
Gyant,2019,Enabler,7.0
Halo Health,2019,Enabler,5.45
Hazel Health,2019,Challenger,20.0
Heal,2019,Challenger,16.0
Health Catalyst (NAS: HCAT),2019,Enabler,12.19
Health Data Analytics Institute,2019,Enabler,13.5
Health Recovery Solutions,2019,Enabler,10.0
Health[at]Scale Technologies,2019,Enabler,14.0
HealthCare.com,2019,Challenger,16.0
HealthEC,2019,Enabler,15.0
Healthify,2019,Enabler,15.3
HealthJoy,2019,Enabler,12.5
HealthReveal,2019,Enabler,26.6
HealthVerity,2019,Enabler,25.0
HeartFlow,2019,Enabler,45.65
HeartFlow,2019,Enabler,65.0
Helio Genomics,2019,Challenger,43.0
Higi (Decision/Risk Analysis),2019,Enabler,10.0
Homethrive,2019,Challenger,6.0
i2i Population Health,2019,Enabler,30.0
Included Health,2019,Enabler,50.0
InformedDNA,2019,Enabler,
InFuse Holdings,2019,Challenger,8.1
InHealth Lifestyle Therapeutics,2019,Challenger,2.12
Innovaccer,2019,Enabler,35.0
InsightRx,2019,Enabler,9.8
InterWell Health,2019,Challenger,20.0
IVXpress,2019,Challenger,22.51
January,2019,Challenger,19.5
JourneyPure,2019,Challenger,20.0
JRNYS,2019,Enabler,10.88
K Health,2019,Enabler,12.0
Kaia Health,2019,Enabler,8.16
Kaia Health,2019,Enabler,10.05
Kalderos,2019,Enabler,7.0
Kaliber AI,2019,Enabler,
KenSci,2019,Enabler,22.0
Kindbody,2019,Challenger,22.47
Kiyatec,2019,Enabler,5.33
Koios Medical,2019,Enabler,18.86
Komodo Health,2019,Enabler,50.0
Kyruus,2019,Enabler,16.99
Laudio,2019,Enabler,7.3
Lazarus 3D,2019,Enabler,6.0
LeanTaaS,2019,Enabler,40.0
LeanTaaS,2019,Enabler,14.0
Lirio,2019,Enabler,6.71
Lirio,2019,Enabler,9.77
Luma Health,2019,Enabler,16.0
MAP Health Management,2019,Challenger,25.0
MedAnswers,2019,Enabler,5.0
Medcrypt,2019,Enabler,5.46
Medely,2019,Enabler,11.0
Medically Home,2019,Challenger,22.84
Medigate,2019,Enabler,15.0
Medinas,2019,Enabler,5.0
Medly Pharmacy,2019,Challenger,10.0
MedMinder,2019,Enabler,6.5
Mednition,2019,Enabler,12.0
MedTrainer,2019,Enabler,11.02
Metabiota,2019,Enabler,
Modern Health,2019,Challenger,11.67
Monogram Health,2019,Challenger,5.0
Moxe,2019,Enabler,15.5
Mvmnt (Application Software),2019,Enabler,5.2
MyHealthTeam,2019,Enabler,9.44
Myia,2019,Enabler,10.0
MyLaurel,2019,Challenger,48.42
Mytonomy,2019,Enabler,9.31
Navigating Cancer,2019,Enabler,26.0
NeueHealth (NYS: NEUE),2019,Challenger,635.0
Neurotrack,2019,Enabler,21.0
NexHealth,2019,Enabler,5.1
NextHealth Technologies,2019,Enabler,18.83
Nomad Health,2019,Enabler,20.3
Noom,2019,Challenger,54.5
Notal Vision,2019,Enabler,25.0
Nurx,2019,Challenger,36.7
Nym (Enterprise Systems (Healthcare)),2019,Enabler,5.95
ObjectiveHealth,2019,Enabler,6.62
ObservSMART,2019,Enabler,9.99
Octave,2019,Challenger,11.0
OM1,2019,Enabler,50.0
OncoHost,2019,Enabler,4.34
One Drop,2019,Enabler,40.0
OODA Health,2019,Enabler,14.5
Optios,2019,Enabler,6.49
Orb Health,2019,Enabler,1.0
Ostro,2019,Enabler,8.75
Owkin,2019,Enabler,13.0
Papa,2019,Challenger,10.0
Parsley Health,2019,Challenger,24.32
Pear Therapeutics,2019,Challenger,64.0
PeerWell,2019,Enabler,6.5
Persivia,2019,Enabler,15.0
Persivia,2019,Enabler,2.42
Perthera,2019,Enabler,9.66
Petabyte Technology,2019,Enabler,8.0
Phil,2019,Challenger,19.5
Phosphorus (Decision/Risk Analysis),2019,Enabler,10.09
Phynd Technologies,2019,Enabler,8.17
Physera,2019,Challenger,8.0
Pieces (Decision/Risk Analysis),2019,Enabler,25.71
PierianDx,2019,Enabler,27.0
Pill Club,2019,Challenger,7.0
Pill Club,2019,Challenger,51.0
Pillo Health,2019,Enabler,11.0
Prealize Health,2019,Enabler,22.0
Prescryptive,2019,Enabler,8.0
Protenus,2019,Enabler,17.0
Quartet Health,2019,Enabler,67.5
Radiology Partners,2019,Challenger,47.67
RADLogics,2019,Enabler,5.0
Real Time Medical Systems,2019,Enabler,10.0
RecoveryOne,2019,Challenger,12.0
Redox,2019,Enabler,36.1
Reveleer,2019,Enabler,5.55
Rhyme (Healthcare Technology Systems),2019,Enabler,6.22
Ride Health,2019,Enabler,5.97
Rightway,2019,Enabler,20.0
Rightway,2019,Enabler,8.0
Risalto,2019,Enabler,7.0
Riverain Technologies,2019,Enabler,15.0
Ro,2019,Challenger,85.0
Ronin,2019,Enabler,25.0
Rula,2019,Challenger,5.35
RxAnte,2019,Enabler,7.5
Saama Analytics,2019,Enabler,40.0
SafelyYou,2019,Enabler,4.82
SafeRide Health,2019,Enabler,11.6
Savonix,2019,Enabler,14.7
SchoolCare,2019,Enabler,24.34
Science 37 Holdings,2019,Enabler,35.0
Seer (Decision/Risk Analysis) (NAS: SEER),2019,Enabler,17.5
Sensely,2019,Enabler,15.0
Senseye,2019,Enabler,5.0
Sesame (Managed Care),2019,Enabler,23.65
ShiftMed,2019,Enabler,6.24
Sickbay,2019,Enabler,11.9
SignalPath,2019,Enabler,18.0
Skedulo,2019,Enabler,27.01
Sleep Reset,2019,Enabler,12.88
Solera (Other Healthcare Services),2019,Enabler,42.0
Somatus,2019,Challenger,10.44
Somatus,2019,Challenger,12.58
Sonde,2019,Enabler,15.8
SpectraWAVE,2019,Enabler,16.4
Spring Hills,2019,Challenger,23.45
Springbuk,2019,Enabler,17.0
Stratasan,2019,Enabler,26.0
Strive Health,2019,Challenger,80.0
SubjectWell,2019,Enabler,10.0
Subtle Medical,2019,Enabler,
Sunwave,2019,Enabler,6.0
Surglogs,2019,Enabler,5.0
Syapse,2019,Enabler,20.1
TailorMed,2019,Enabler,8.0
Talkiatry,2019,Challenger,17.0
Talkspace (NAS: TALK),2019,Challenger,50.0
Tandem (Information Services),2019,Challenger,5.0
TaqTik Health,2019,Enabler,5.5
Tausight,2019,Enabler,5.0
Tellus (Deerfield Beach),2019,Enabler,
Tempest,2019,Challenger,10.25
The Mighty,2019,Enabler,12.0
The Well,2019,Challenger,14.0
Therapydia,2019,Challenger,10.5
Third Eye Health,2019,Enabler,8.66
Thrive Global,2019,Enabler,25.0
TransformativeMed,2019,Enabler,5.75
TriNetX,2019,Enabler,40.0
